remark,price,title,color
金秋风暴，领券立减300，到手价2549，享白条6期免息，实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券，进入夏普狂欢专场,2849.00,夏普 (SHARP) LCD-50SU460A 50英寸4K超高清wifi智能网络液晶平板,夏普 (SHARP) LCD-50SU460A 50英寸4K超高清wifi智能网络液晶平板
"9.28-10.8，享2599元惊喜价，更有购买自营家电""满5000送1999元美的破壁料理机、满10000送3999元霍尼韦尔空气净化器”【详情点击】",2599.00,小米（MI）小米,小米（MI）小米
夏普品牌秒杀，领券立减200，到手价1849，享白条6期免息，实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券，进入夏普狂欢专场,2049.00,夏普 (SHARP) LCD-45SF460A 45英寸全高清wifi智能网络液晶平板,夏普 (SHARP) LCD-45SF460A 45英寸全高清wifi智能网络液晶平板
"9.28-10.8，享2099元惊喜价，更有购买自营家电""满5000送1999元美的破壁料理机、满10000送3999元霍尼韦尔空气净化器”【详情点击】",2099.00,小米（MI）小米,小米（MI）小米
【爆品尖货】黑色边框，4K迅锐图像引擎PRO，HDR高动态显示，正版安卓6.0系统，醇音技术+~55英寸新品上市，详情请点击,4599.00,索尼（SONY）KD-55X7000D 55英寸高清4K HDR 安卓6.0系统 智能液晶,索尼（SONY）KD-55X7000D 55英寸高清4K HDR 安卓6.0系统 智能液晶
创维（Skyworth）60V8E 60英寸4色4K HDR人工智能金属机身超高清智能液晶电视(金色),4999.00,创维（Skyworth）60V8E 60英寸4色4K HDR人工智能金属机身超高清智能液晶,创维（Skyworth）60V8E 60英寸4色4K HDR人工智能金属机身超高清智能液晶
夏普品牌秒杀，领券立减500.到手价3999，享白条6期免息，实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券，进入夏普狂欢专场,4499.00,夏普 (SHARP) LCD-60SU465A 60英寸4K超高清wifi智能网络液晶平板,夏普 (SHARP) LCD-60SU465A 60英寸4K超高清wifi智能网络液晶平板
"9.28-10.8，享1899元惊喜价，更有购买自营家电""满5000送1999元美的破壁料理机、满10000送3999元霍尼韦尔空气净化器”【详情点击】",1899.00,小米（MI）小米,小米（MI）小米
【订单满5千送1999破壁料理机购物券！满1万送3999空气净化器！】32英寸经典款！好评超十万条！超人气产品！【更多优惠！猛戳>>>】,1099.00,康佳（KONKA） LED32E330C 32英寸 窄边高清液晶,康佳（KONKA） LED32E330C 32英寸 窄边高清液晶
夏普品牌秒杀，领券立减800，到手价6999，享白条6期免息，实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券，进入狂欢专区,7799.00,夏普 (SHARP) LCD-70SU665A 70英寸4K超高清wifi智能网络液晶平板,夏普 (SHARP) LCD-70SU665A 70英寸4K超高清wifi智能网络液晶平板
"9.28-10.8，购买自营家电""满5000送1999元美的破壁料理机、满10000送3999元霍尼韦尔空气净化器”【详情点击】",3499.00,小米（MI）小米,小米（MI）小米
创维（Skyworth）55R8 创维55英寸27核超薄全金属HDR自发光人工智能OLED有机电视（金色）,9999.00,创维（Skyworth）55R8 创维55英寸27核超薄全金属HDR自发光人工智能OLED有机,创维（Skyworth）55R8 创维55英寸27核超薄全金属HDR自发光人工智能OLED有机
"【金秋风暴！下方领券减300,3299成交】订单满5千送1999破壁料理机，订单完成8天返等值京券!主推4K爆品！2G+8G大内存！55吋金属超薄智能电视新品力作",3599.00,海信（Hisense）LED55EC550UA 55英寸 4K智能,海信（Hisense）LED55EC550UA 55英寸 4K智能
"智能电视，可连WIFI,内嵌杜比音效处理技术，价保30天！【飞利浦双节特惠点此进入】",1299.00,飞利浦（PHILIPS）32PHF5061/T3 32英寸 二级能效 智慧省电 卧室/书房两用 WIFI智能LED高清液晶,飞利浦（PHILIPS）32PHF5061/T3 32英寸 二级能效 智慧省电 卧室/书房两用 WIFI智能LED高清液晶
夏普品牌秒杀，领券立减200，到手价1649，享白条6期免息实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券，进入夏普狂欢专场,1849.00,夏普 (SHARP) LCD-40SF466A-BK 40英寸全高清wifi智能网络液晶平板,夏普 (SHARP) LCD-40SF466A-BK 40英寸全高清wifi智能网络液晶平板
"9.28-10.8，购买自营家电""满5000送1999元美的破壁料理机、满10000送3999元霍尼韦尔空气净化器”【详情点击】",2799.00,小米（MI）小米,小米（MI）小米
【领券立减300，到手价2999，限量300台】享白条3期免息！买自营家电实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券超智慧电视隆重上市，享12期免息分期！,3299.00,TCL D55A630U 55英寸超薄金属机身 30核HDR 4K超清智能,TCL D55A630U 55英寸超薄金属机身 30核HDR 4K超清智能
【创维金秋钜惠】55英寸4K爆款！金属边框，18核处理器，爱奇艺影视！满5千送1999破壁料理机，满1万送3999空气净化器,3098.00,创维（Skyworth）55V6 55英寸 18核金属边框4色4K超高清智能,创维（Skyworth）55V6 55英寸 18核金属边框4色4K超高清智能
【领券满2000减100！】6期免息！安卓智能，海量应用，性价比之选！价保30天！【支付满5000送1999元破壁机！】,1899.00,飞利浦（PHILIPS）39PHF5092/T3 39英寸 二级能效 丰富内容 海量应用 WIFI智能高清液晶,飞利浦（PHILIPS）39PHF5092/T3 39英寸 二级能效 丰富内容 海量应用 WIFI智能高清液晶
创维（Skyworth）55V9 55英寸25核4色4K超薄HDR人工智能金属机身超高清智能电视(金色),3999.00,创维（Skyworth）55V9 55英寸25核4色4K超薄HDR人工智能金属机身超高清智能,创维（Skyworth）55V9 55英寸25核4色4K超薄HDR人工智能金属机身超高清智能
【领券立减300，限量300台】享白条6期免息！今天下单，联系客服登记，10.8前晒图评论送1年腾讯企鹅影院会员！超智慧电视隆重上市，享12期免息分期！,4199.00,TCL 55A950C 55英寸32核人工智能 HDR曲面超薄4K,TCL 55A950C 55英寸32核人工智能 HDR曲面超薄4K
【创维金秋钜惠】42吋智能爆款机，6核处理器，内置WIFI，腾讯影视！人气爆款！满5千送1999破壁料理机，满1万送3999空气净化器,2099.00,创维（Skyworth）42X5 42英寸6核智能酷开网络平板液晶,创维（Skyworth）42X5 42英寸6核智能酷开网络平板液晶
【支付满5000送1999元破壁机！】6期免息！智能4K！安卓十一核！价保30天！【飞利浦双节特惠点此进入】,2499.00,飞利浦（PHILIPS）50PUF6061/T3 50英寸 64位11核 丰富内容 海量应用 4K超高清WIFI智能液晶,飞利浦（PHILIPS）50PUF6061/T3 50英寸 64位11核 丰富内容 海量应用 4K超高清WIFI智能液晶
【创维金秋钜惠】42英寸爆款热销，USB解码，银色窄边框，玻璃钢底座。好评超4万，人气热卖！满5千送1999破壁料理机，满1万送3999空气净化器,1899.00,创维(Skyworth) 42E5ERS 42英寸 高清LED窄边平板液晶,创维(Skyworth) 42E5ERS 42英寸 高清LED窄边平板液晶
【金秋风暴】订单满5千送1999破壁料理机，满1万送3999空气净化器，60英寸大屏4K机皇！HDR高动态显示，纤薄机身设计！60吋人工智能新品力作,4799.00,海信（Hisense）LED60EC660US 60英寸  炫彩4K智能,海信（Hisense）LED60EC660US 60英寸  炫彩4K智能
【领券立减300，限量300台】10.1提前狂欢购，更尽兴！买自营家电实付满5千送1999破壁料理机，满1万送3999空气净化器，订单完成8天返等值京券超智慧电视隆重上市，享12期免息分期！,3899.00,TCL D55A930C 55英寸 HDR超薄4K曲面 64位30核智能液晶,TCL D55A930C 55英寸 HDR超薄4K曲面 64位30核智能液晶
"【金秋风暴！下单减700,6899成交,白条支付更享六期免息】订单满5千送1999破壁料理机,65英寸曲面4K机皇!2G+16G大内存!咨询客服有惊喜哦.更多惊喜，详情点击！",7598.00,海信（Hisense）LED65EC780UC 65英寸 曲面4K智能平板,海信（Hisense）LED65EC780UC 65英寸 曲面4K智能平板
索尼（SONY）KD-55X8066E 55英寸4K HDR腾讯视频 安卓7.0智能液晶电视（黑色）,5999.00,索尼（SONY）KD-55X8066E 55英寸4K HDR腾讯视频 安卓7.0智能液晶,索尼（SONY）KD-55X8066E 55英寸4K HDR腾讯视频 安卓7.0智能液晶
【订单满5千送1999破壁料理机购物券！满1万送3999空气净化器！】2万+好评，4K畅销明星单品！4K硬屏！HDR画质处理技术【更多优惠！猛戳>>>】,2299.00,康佳（KONKA）A49U 49英寸64位10核4KHDR超高清安卓智能平板液晶,康佳（KONKA）A49U 49英寸64位10核4KHDR超高清安卓智能平板液晶
